date,year,month,quarter,day_of_week,region,category,product,channel,unit_price,units_sold,discount_pct,revenue,profit_margin,profit,returns_pct,net_revenue
2021-01-01,2021,1,1,4,North,Sports,Cycle,Wholesale,1554.81,11,0.2,13682.33,0.13,1778.7,0.065,12792.98
2021-01-01,2021,1,1,4,South,Clothing,Dress,Wholesale,1353.86,8,0.18,8881.32,0.252,2238.09,0.001,8872.44
2021-01-02,2021,1,1,5,West,Clothing,T-Shirt,Wholesale,1664.49,8,0.202,10626.1,0.324,3442.86,0.076,9818.52
2021-01-02,2021,1,1,5,East,Sports,Football,Online,2426.71,8,0.113,17219.93,0.185,3185.69,0.05,16358.93
2021-01-02,2021,1,1,5,North,Groceries,Cooking Oil,Retail Store,263.74,7,0.056,1742.79,0.317,552.46,0.069,1622.54
2021-01-02,2021,1,1,5,North,Home & Kitchen,Bedsheet,Online,3380.08,4,0.121,11884.36,0.162,1925.27,0.008,11789.29
2021-01-02,2021,1,1,5,South,Clothing,Jeans,Retail Store,1558.79,8,0.052,11821.86,0.226,2671.74,0.038,11372.63
2021-01-03,2021,1,1,6,West,Sports,Dumbbells,Retail Store,1786.02,11,0.077,18133.46,0.256,4642.17,0.065,16954.79
2021-01-03,2021,1,1,6,North,Home & Kitchen,Bedsheet,Wholesale,2944.65,5,0.207,11675.54,0.221,2580.29,0.08,10741.5
2021-01-03,2021,1,1,6,North,Home & Kitchen,Curtains,Wholesale,3931.3,3,0.201,9423.33,0.271,2553.72,0.021,9225.44
2021-01-03,2021,1,1,6,South,Electronics,Smartphone,Retail Store,34895.16,4,0.048,132880.77,0.152,20197.88,0.007,131950.6
2021-01-03,2021,1,1,6,West,Home & Kitchen,Mixer,Online,3892.39,10,0.136,33630.25,0.243,8172.15,0.076,31074.35
2021-01-04,2021,1,1,0,West,Sports,Cricket Bat,Online,2544.16,4,0.103,9128.45,0.277,2528.58,0.063,8553.36
2021-01-04,2021,1,1,0,West,Electronics,Smartphone,Online,25276.4,8,0.111,179765.76,0.284,51053.48,0.053,170238.17
2021-01-04,2021,1,1,0,East,Clothing,Shoes,Retail Store,1593.48,6,0.039,9188.01,0.302,2774.78,0.07,8544.85
2021-01-06,2021,1,1,2,North,Electronics,Laptop,Wholesale,33957.02,10,0.167,282861.98,0.26,73544.11,0.049,269001.74
2021-01-06,2021,1,1,2,North,Home & Kitchen,Bedsheet,Online,2876.33,5,0.134,12454.51,0.318,3960.53,0.015,12267.69
2021-01-06,2021,1,1,2,East,Clothing,Jeans,Wholesale,895.83,11,0.195,7932.57,0.327,2593.95,0.061,7448.68
2021-01-07,2021,1,1,3,North,Clothing,Shoes,Wholesale,943.57,10,0.194,7605.17,0.32,2433.65,0.071,7065.2
2021-01-08,2021,1,1,4,South,Clothing,Dress,Wholesale,1480.78,7,0.205,8240.54,0.158,1302.01,0.028,8009.8
2021-01-09,2021,1,1,5,East,Electronics,Camera,Online,28229.38,6,0.093,153624.29,0.326,50081.52,0.043,147018.45
2021-01-09,2021,1,1,5,South,Home & Kitchen,Mixer,Online,3165.34,11,0.137,30048.57,0.194,5829.42,0.061,28215.61
2021-01-09,2021,1,1,5,North,Clothing,Shoes,Wholesale,1545.09,6,0.174,7657.47,0.306,2343.19,0.047,7297.57
2021-01-11,2021,1,1,0,East,Clothing,Dress,Retail Store,1011.66,7,0.038,6812.52,0.235,1600.94,0.046,6499.14
2021-01-11,2021,1,1,0,South,Sports,Yoga Mat,Online,2580.3,3,0.098,6982.29,0.209,1459.3,0.016,6870.57
2021-01-11,2021,1,1,0,North,Clothing,Dress,Wholesale,1293.19,9,0.182,9520.46,0.129,1228.14,0.044,9101.56
2021-01-11,2021,1,1,0,North,Groceries,Rice,Online,391.08,6,0.097,2118.87,0.216,457.68,0.046,2021.4
